1970-01-01 00:11:32 install libexpat1-dev:armhf <none> 2.1.0-4ubuntu1
1970-01-01 00:11:32 status half-installed libexpat1-dev:armhf 2.1.0-4ubuntu1
1970-01-01 00:11:33 status unpacked libexpat1-dev:armhf 2.1.0-4ubuntu1
1970-01-01 00:11:33 status unpacked libexpat1-dev:armhf 2.1.0-4ubuntu1
1970-01-01 00:11:33 install libpython2.7-dev:armhf <none> 2.7.6-8
1970-01-01 00:11:33 status half-installed libpython2.7-dev:armhf 2.7.6-8
1970-01-01 00:11:42 status unpacked libpython2.7-dev:armhf 2.7.6-8
1970-01-01 00:11:42 status unpacked libpython2.7-dev:armhf 2.7.6-8
1970-01-01 00:11:42 install libsctp1:armhf <none> 1.0.15+dfsg-1
1970-01-01 00:11:42 status half-installed libsctp1:armhf 1.0.15+dfsg-1
1970-01-01 00:11:43 status unpacked libsctp1:armhf 1.0.15+dfsg-1
1970-01-01 00:11:43 status unpacked libsctp1:armhf 1.0.15+dfsg-1
1970-01-01 00:11:43 install libjbig0:armhf <none> 2.0-2ubuntu4
1970-01-01 00:11:43 status half-installed libjbig0:armhf 2.0-2ubuntu4
1970-01-01 00:11:43 status unpacked libjbig0:armhf 2.0-2ubuntu4
1970-01-01 00:11:43 status unpacked libjbig0:armhf 2.0-2ubuntu4
1970-01-01 00:11:43 install libjpeg8:armhf <none> 8c-2ubuntu8
1970-01-01 00:11:43 status half-installed libjpeg8:armhf 8c-2ubuntu8
1970-01-01 00:11:43 status unpacked libjpeg8:armhf 8c-2ubuntu8
1970-01-01 00:11:43 status unpacked libjpeg8:armhf 8c-2ubuntu8
1970-01-01 00:11:43 install libtiff5:armhf <none> 4.0.3-7
1970-01-01 00:11:43 status half-installed libtiff5:armhf 4.0.3-7
1970-01-01 00:11:44 status unpacked libtiff5:armhf 4.0.3-7
1970-01-01 00:11:44 status unpacked libtiff5:armhf 4.0.3-7
1970-01-01 00:11:44 install libtinyxml2.6.2:armhf <none> 2.6.2-2
1970-01-01 00:11:44 status half-installed libtinyxml2.6.2:armhf 2.6.2-2
